"Step","celestial-elevator-24 - mean evaluation reward","celestial-elevator-24 - mean evaluation reward__MIN","celestial-elevator-24 - mean evaluation reward__MAX"
"173","7.09375","7.09375","7.09375"
"174","7.09375","7.09375","7.09375"
"175","7.09375","7.09375","7.09375"
"176","7.0625","7.0625","7.0625"
"177","7.09375","7.09375","7.09375"
"178","7.15625","7.15625","7.15625"
"179","6.90625","6.90625","6.90625"
"180","6.84375","6.84375","6.84375"
"181","6.84375","6.84375","6.84375"
"182","6.84375","6.84375","6.84375"
"183","6.84375","6.84375","6.84375"
"184","6.46875","6.46875","6.46875"
"185","6.46875","6.46875","6.46875"
"186","6.46875","6.46875","6.46875"
"187","7.09375","7.09375","7.09375"
"188","7.15625","7.15625","7.15625"
"189","7.15625","7.15625","7.15625"
"190","7.03125","7.03125","7.03125"
"191","7.09375","7.09375","7.09375"
"192","7.09375","7.09375","7.09375"
"193","6.8125","6.8125","6.8125"
"194","7.125","7.125","7.125"
"195","7.15625","7.15625","7.15625"
"196","7.15625","7.15625","7.15625"
"197","7.15625","7.15625","7.15625"
"198","7.09375","7.09375","7.09375"
"199","7.125","7.125","7.125"
