Wall time,Step,Value
1716243878.597653,2048,-0.05999999865889549
1716243888.674209,4096,1.3600000143051147
1716243898.7519488,6144,2.359999895095825
1716243908.382109,8192,2.240000009536743
1716243920.8526876,10240,3.380000114440918
1716243933.7799869,12288,5.260000228881836
1716243947.9663706,14336,4.949999809265137
1716243962.7728124,16384,4.289999961853027
1716243976.1056151,18432,4.670000076293945
1716243988.0587218,20480,5.599999904632568
1716244000.2294703,22528,5.96999979019165
1716244011.6478376,24576,6.260000228881836
1716244024.6613767,26624,7.670000076293945
1716244037.640272,28672,7.139999866485596
1716244050.386699,30720,6.78000020980835
1716244061.5503387,32768,6.53000020980835
1716244073.1850507,34816,7.480000019073486
1716244084.8354657,36864,6.010000228881836
1716244097.473482,38912,7.329999923706055
1716244110.1531947,40960,6.420000076293945
1716244121.6936755,43008,6.820000171661377
1716244133.3736358,45056,6.730000019073486
1716244145.3866513,47104,7.230000019073486
1716244158.1530015,49152,6.96999979019165
1716244170.8262868,51200,6.769999980926514
1716244182.9378617,53248,5.599999904632568
1716244193.9399524,55296,7.309999942779541
1716244205.4986567,57344,6.920000076293945
1716244218.0345926,59392,7.340000152587891
1716244230.7650769,61440,5.46999979019165
1716244244.0272496,63488,8.229999542236328
1716244256.189656,65536,7.840000152587891
1716244267.6082706,67584,6.75
1716244279.3558784,69632,6.639999866485596
1716244291.9772189,71680,7.610000133514404
1716244304.909723,73728,6.329999923706055
1716244316.4212573,75776,6.300000190734863
1716244327.7091775,77824,8.210000038146973
1716244338.5644553,79872,6.78000020980835
1716244351.3129716,81920,5.429999828338623
1716244363.795453,83968,8.399999618530273
1716244376.0993052,86016,7.619999885559082
1716244387.1027179,88064,7.269999980926514
1716244398.2840114,90112,6.329999923706055
1716244410.2245271,92160,6.46999979019165
1716244422.7949607,94208,7.289999961853027
1716244435.3021364,96256,6.989999771118164
1716244446.6583185,98304,6.050000190734863
1716244457.706239,100352,6.639999866485596
1716244469.194364,102400,6.739999771118164
1716244481.9078355,104448,7.190000057220459
1716244494.3112984,106496,6.5
1716244506.170888,108544,5.650000095367432
1716244517.3114672,110592,7.010000228881836
1716244528.9997509,112640,5.619999885559082
1716244541.5540864,114688,6.320000171661377
1716244554.047137,116736,7.28000020980835
1716244566.3044422,118784,7.5
1716244577.5921736,120832,8.199999809265137
1716244588.5746531,122880,6.139999866485596
1716244600.0764432,124928,7.199999809265137
1716244612.4376256,126976,6.739999771118164
1716244624.8341694,129024,7.599999904632568
1716244635.705611,131072,5.760000228881836
1716244646.417352,133120,5.489999771118164
1716244657.3207047,135168,6.320000171661377
1716244669.741838,137216,6.389999866485596
1716244682.1380203,139264,7.099999904632568
1716244693.735449,141312,5.010000228881836
1716244704.4596014,143360,6.71999979019165
1716244715.190625,145408,6.730000019073486
1716244727.453138,147456,6.210000038146973
1716244739.81109,149504,5.789999961853027
1716244751.8085382,151552,7.179999828338623
1716244762.6517463,153600,7.769999980926514
1716244773.4462082,155648,7.199999809265137
1716244785.1080174,157696,7.650000095367432
1716244797.3733292,159744,5.840000152587891
1716244809.6646433,161792,7.150000095367432
1716244820.4952426,163840,5.980000019073486
1716244831.0665138,165888,6.519999980926514
1716244841.9961047,167936,6.539999961853027
1716244854.1949763,169984,4.320000171661377
1716244866.385039,172032,6.130000114440918
1716244877.9827626,174080,6.429999828338623
1716244888.6054587,176128,5.619999885559082
1716244899.4049656,178176,7.28000020980835
1716244911.2479463,180224,6.96999979019165
1716244923.4855173,182272,7.400000095367432
1716244935.7756684,184320,6.210000038146973
1716244946.7960818,186368,7.519999980926514
1716244957.455007,188416,6.929999828338623
1716244968.92848,190464,6.53000020980835
1716244983.0191467,192512,7.179999828338623
1716244996.5518935,194560,5.46999979019165
1716245010.0691874,196608,7.300000190734863
1716245023.1494367,198656,6.489999771118164
1716245036.6209106,200704,6.150000095367432
