"Step","ancient-yogurt-6 - mean meta-episode return","ancient-yogurt-6 - mean meta-episode return__MIN","ancient-yogurt-6 - mean meta-episode return__MAX"
"160","-0.56","-0.56","-0.56"
"161","-0.556","-0.556","-0.556"
"162","-0.562","-0.562","-0.562"
"163","-0.561","-0.561","-0.561"
"164","-0.595","-0.595","-0.595"
"165","-0.61","-0.61","-0.61"
"166","-0.595","-0.595","-0.595"
"167","-0.573","-0.573","-0.573"
"168","-0.596","-0.596","-0.596"
"169","-0.602","-0.602","-0.602"
"170","-0.613","-0.613","-0.613"
"171","-0.631","-0.631","-0.631"
"172","-0.627","-0.627","-0.627"
"173","-0.625","-0.625","-0.625"
"174","-0.617","-0.617","-0.617"
"175","-0.606","-0.606","-0.606"
"176","-0.6","-0.6","-0.6"
"177","-0.604","-0.604","-0.604"
"178","-0.594","-0.594","-0.594"
"179","-0.607","-0.607","-0.607"
"180","-0.612","-0.612","-0.612"
"181","-0.62","-0.62","-0.62"
"182","-0.615","-0.615","-0.615"
"183","-0.613","-0.613","-0.613"
"184","-0.608","-0.608","-0.608"
"185","-0.606","-0.606","-0.606"
"186","-0.614","-0.614","-0.614"
"187","-0.626","-0.626","-0.626"
"188","-0.625","-0.625","-0.625"
"189","-0.612","-0.612","-0.612"
"190","-0.607","-0.607","-0.607"
"191","-0.614","-0.614","-0.614"
"192","-0.605","-0.605","-0.605"
"193","-0.599","-0.599","-0.599"
"194","-0.592","-0.592","-0.592"
"195","-0.582","-0.582","-0.582"
"196","-0.567","-0.567","-0.567"
"197","-0.561","-0.561","-0.561"
"198","-0.559","-0.559","-0.559"
"199","-0.567","-0.567","-0.567"
"200","-0.544","-0.544","-0.544"
"201","-0.54","-0.54","-0.54"
"202","-0.534","-0.534","-0.534"
"203","-0.539","-0.539","-0.539"
"204","-0.533","-0.533","-0.533"
"205","-0.524","-0.524","-0.524"
"206","-0.515","-0.515","-0.515"
"207","-0.534","-0.534","-0.534"
"208","-0.545","-0.545","-0.545"
"209","-0.548","-0.548","-0.548"
"210","-0.559","-0.559","-0.559"
"211","-0.545","-0.545","-0.545"
"212","-0.557","-0.557","-0.557"
"213","-0.555","-0.555","-0.555"
"214","-0.557","-0.557","-0.557"
"215","-0.572","-0.572","-0.572"
"216","-0.565","-0.565","-0.565"
"217","-0.591","-0.591","-0.591"
"218","-0.584","-0.584","-0.584"
"219","-0.582","-0.582","-0.582"
"220","-0.569","-0.569","-0.569"
