Wall time,Step,Value
1718920184.4090793,4096,0.550000011920929
1718920210.4372199,8192,0.6100000143051147
1718920235.6102834,12288,0.550000011920929
1718920248.0543437,14336,0.550000011920929
1718920271.7430527,18432,0.5400000214576721
1718920299.3708754,22528,0.6000000238418579
1718920310.9137793,24576,0.5799999833106995
1718920322.7786546,26624,0.6000000238418579
1718920334.715838,28672,0.5600000023841858
1718920346.4401357,30720,0.5
1718920358.7173543,32768,0.5299999713897705
1718920371.8299038,34816,0.5699999928474426
1718920385.222812,36864,0.550000011920929
1718920397.0504131,38912,0.5600000023841858
1718920409.1868935,40960,0.5
1718920420.4209795,43008,0.5400000214576721
1718920444.236909,47104,0.6100000143051147
1718920467.5080884,51200,0.6600000262260437
1718920479.8129437,53248,0.6200000047683716
1718920541.061398,63488,0.6499999761581421
1718920551.9173608,65536,0.6299999952316284
1718920563.4995964,67584,0.6100000143051147
1718920574.731481,69632,0.6499999761581421
1718920587.1264424,71680,0.6800000071525574
1718920610.684719,75776,0.6200000047683716
1718920646.5900495,81920,0.6499999761581421
1718920658.7255986,83968,0.6800000071525574
1718920683.5057988,88064,0.550000011920929
1718920696.8180504,90112,0.6600000262260437
1718920709.6253355,92160,0.699999988079071
1718920721.7317994,94208,0.6600000262260437
1718920747.0577047,98304,0.7200000286102295
1718920771.9479094,102400,0.7099999785423279
1718920782.9740632,104448,0.6700000166893005
1718920815.5454578,110592,0.6800000071525574
1718920826.4743073,112640,0.75
1718920840.0143714,114688,0.7400000095367432
1718920853.2289805,116736,0.7200000286102295
1718920865.5337036,118784,0.6899999976158142
1718920905.1446688,124928,0.699999988079071
1718920917.8628526,126976,0.6800000071525574
1718920930.052029,129024,0.7200000286102295
1718920942.8277555,131072,0.75
1718920954.641327,133120,0.7300000190734863
1718920966.6634529,135168,0.699999988079071
1718920979.2227736,137216,0.6700000166893005
1718920992.2596765,139264,0.699999988079071
1718921005.5135643,141312,0.7599999904632568
1718921017.959624,143360,0.6700000166893005
1718921042.2497241,147456,0.7400000095367432
1718921054.4139113,149504,0.7599999904632568
1718921066.6438015,151552,0.6600000262260437
1718921079.083418,153600,0.7400000095367432
1718921105.9413989,157696,0.6700000166893005
1718921131.1421342,161792,0.75
1718921144.127657,163840,0.7099999785423279
1718921170.2516224,167936,0.699999988079071
1718921182.8497806,169984,0.6600000262260437
1718921206.1186368,174080,0.6499999761581421
1718921218.3349864,176128,0.6800000071525574
1718921230.7906907,178176,0.800000011920929
1718921242.660755,180224,0.699999988079071
1718921254.1396203,182272,0.6200000047683716
1718921265.8213105,184320,0.699999988079071
1718921291.0919008,188416,0.7099999785423279
1718921304.0799153,190464,0.75
1718921316.2958198,192512,0.8299999833106995
1718921329.0452583,194560,0.7400000095367432
1718921389.358826,204800,0.6899999976158142
1718921401.4292188,206848,0.6800000071525574
1718921424.9985874,210944,0.75
1718921448.6197164,215040,0.7900000214576721
1718921460.8508403,217088,0.7900000214576721
1718921472.7833273,219136,0.7900000214576721
1718921510.850972,225280,0.8299999833106995
1718921522.7690158,227328,0.75
1718921558.5101385,233472,0.800000011920929
1718921595.0644603,239616,0.7799999713897705
1718921618.053994,243712,0.7799999713897705
1718921629.4953663,245760,0.8100000023841858
1718921642.4636836,247808,0.8199999928474426
