Wall time,Step,Value
1718825815.7318685,12288,0.4300000071525574
1718826052.609662,38912,0.5
1718826163.256886,51200,0.47999998927116394
1718826472.1648295,83968,0.4099999964237213
1718826510.9488437,88064,0.5099999904632568
1718826570.1082723,94208,0.4699999988079071
1718826608.7060094,98304,0.4300000071525574
1718826723.641374,110592,0.5299999713897705
1718826783.0672503,116736,0.5
1718827061.8117495,147456,0.47999998927116394
1718827098.1281915,151552,0.5099999904632568
1718827115.507806,153600,0.44999998807907104
1718827202.4380138,163840,0.5699999928474426
1718827347.0569384,180224,0.49000000953674316
1718827470.7042131,194560,0.5
1718827620.148731,210944,0.5400000214576721
1718827672.4919434,217088,0.5199999809265137
1718827690.420789,219136,0.49000000953674316
1718827828.7150905,233472,0.6100000143051147
1718827929.6989493,243712,0.5199999809265137
1718828086.1895077,260096,0.6100000143051147
1718828333.617125,286720,0.550000011920929
1718828545.219823,309248,0.5699999928474426
1718828643.4185932,319488,0.5699999928474426
1718828701.7322738,325632,0.5400000214576721
1718828877.5871038,344064,0.7799999713897705
1718828896.7181723,346112,0.7300000190734863
1718829086.8482146,366592,0.6000000238418579
1718829181.4659894,376832,0.5600000023841858
1718829219.56183,380928,0.5099999904632568
1718829239.9768538,382976,0.6600000262260437
1718829315.4530642,391168,0.5699999928474426
1718829473.3725808,407552,0.699999988079071
1718829624.042332,423936,0.6499999761581421
1718829643.5271559,425984,0.5799999833106995
1718829743.664171,436224,0.6200000047683716
1718829958.0591245,458752,0.6100000143051147
1718830095.2931209,471040,0.6499999761581421
1718830217.139753,481280,0.550000011920929
1718830289.0279446,487424,0.7099999785423279
1718830572.3294687,512000,0.6600000262260437
1718830692.9993715,524288,0.7400000095367432
1718830789.323437,534528,0.5799999833106995
1718830848.5906875,540672,0.7099999785423279
1718830924.8395095,548864,0.5699999928474426
1718831001.1239216,557056,0.6200000047683716
1718831039.2088013,561152,0.6499999761581421
1718831409.8249414,600064,0.6000000238418579
1718831513.3765254,610304,0.699999988079071
1718831533.651027,612352,0.7099999785423279
1718831634.3085349,622592,0.5600000023841858
1718831734.6755536,632832,0.6100000143051147
1718831776.2662396,636928,0.6800000071525574
1718831934.387232,653312,0.6299999952316284
1718831951.2481012,655360,0.6100000143051147
1718832088.5933251,669696,0.6800000071525574
1718832173.8377736,677888,0.5400000214576721
1718832371.6456673,696320,0.5799999833106995
1718832544.9160151,712704,0.6200000047683716
1718832888.1549807,745472,0.5699999928474426
1718832974.0888612,753664,0.5699999928474426
1718833102.672726,765952,0.5600000023841858
1718833189.9306462,774144,0.5899999737739563
1718833233.3679538,778240,0.5799999833106995
1718833512.785802,804864,0.5699999928474426
1718833860.1072054,837632,0.6299999952316284
1718834132.3667789,864256,0.550000011920929
1718834153.1624033,866304,0.6200000047683716
1718834193.694215,870400,0.6800000071525574
1718834315.343051,882688,0.6399999856948853
1718834500.2420654,901120,0.6000000238418579
1718834541.0292995,905216,0.6200000047683716
1718834561.694472,907264,0.6399999856948853
1718834621.1216593,913408,0.699999988079071
1718834741.7915864,925696,0.5600000023841858
1718834923.3849707,944128,0.6299999952316284
1718834984.0405827,950272,0.6200000047683716
1718835004.6044114,952320,0.6299999952316284
1718835204.4758732,972800,0.6600000262260437
1718835548.1936777,1007616,0.550000011920929
1718835588.104537,1011712,0.5299999713897705
1718835853.334205,1040384,0.6200000047683716
