Wall time,Step,Value
1718907187.0045893,1080,-0.4821428656578064
1718907187.9843023,1260,-0.4848484992980957
1718907193.0116942,2160,-0.5
1718907196.038436,2700,-0.5099999904632568
1718907196.9908817,2880,-0.49000000953674316
1718907200.0511847,3420,-0.5099999904632568
1718907201.061975,3600,-0.47999998927116394
1718907202.0268943,3780,-0.49000000953674316
1718907206.0972795,4500,-0.4699999988079071
1718907219.7596185,6660,-0.3799999952316284
1718907224.4252791,7380,-0.33000001311302185
1718907226.728437,7740,-0.3199999928474426
1718907228.7550955,8100,-0.28999999165534973
1718907229.7859018,8280,-0.28999999165534973
1718907232.0656931,8640,-0.27000001072883606
1718907238.5327446,9720,-0.27000001072883606
1718907239.5769727,9900,-0.3100000023841858
1718907240.5883474,10080,-0.2800000011920929
1718907241.678203,10260,-0.30000001192092896
1718907242.7034307,10440,-0.3400000035762787
1718907249.0371697,11520,-0.3799999952316284
1718907251.1202054,11880,-0.3700000047683716
1718907253.251994,12240,-0.36000001430511475
1718907254.295124,12420,-0.3199999928474426
1718907257.3969142,12960,-0.25999999046325684
1718907258.4611068,13140,-0.27000001072883606
1718907259.5613427,13320,-0.25999999046325684
1718907260.5556195,13500,-0.28999999165534973
1718907265.8074415,14400,-0.3199999928474426
1718907270.9953773,15300,-0.3700000047683716
1718907274.3873374,15840,-0.38999998569488525
1718907275.7819302,16020,-0.3799999952316284
1718907282.5778556,17100,-0.3199999928474426
1718907291.2239227,18540,-0.3499999940395355
1718907294.5436327,19080,-0.4000000059604645
1718907295.7013395,19260,-0.36000001430511475
1718907303.7582214,20520,-0.36000001430511475
1718907307.0135822,21060,-0.38999998569488525
1718907309.268687,21420,-0.3700000047683716
1718907316.8636148,22680,-0.3100000023841858
1718907317.985407,22860,-0.3199999928474426
1718907321.094901,23400,-0.2800000011920929
1718907322.2141914,23580,-0.3100000023841858
1718907329.9513216,24840,-0.3400000035762787
1718907332.2553735,25200,-0.33000001311302185
1718907334.7798889,25560,-0.36000001430511475
1718907335.838519,25740,-0.3499999940395355
1718907336.920571,25920,-0.36000001430511475
1718907344.5455503,27180,-0.3199999928474426
1718907349.9249969,28080,-0.3700000047683716
1718907352.207175,28440,-0.38999998569488525
1718907353.332733,28620,-0.3700000047683716
1718907358.2554557,29340,-0.3199999928474426
1718907363.7155287,30240,-0.25999999046325684
1718907364.8680172,30420,-0.23999999463558197
1718907368.794164,30960,-0.20000000298023224
1718907375.4318192,32040,-0.25999999046325684
1718907376.6105165,32220,-0.25999999046325684
1718907378.8524513,32580,-0.27000001072883606
1718907382.5261729,33120,-0.23999999463558197
1718907384.804747,33480,-0.25
1718907385.978541,33660,-0.23999999463558197
1718907388.4025216,34020,-0.23000000417232513
1718907390.5435045,34380,-0.23999999463558197
1718907391.6885169,34560,-0.25
1718907399.6283402,35820,-0.20000000298023224
1718907409.0680716,37260,-0.28999999165534973
1718907410.2349308,37440,-0.25999999046325684
1718907411.2989542,37620,-0.28999999165534973
1718907415.5582867,38340,-0.27000001072883606
1718907426.1491735,40140,-0.4099999964237213
1718907427.2132404,40320,-0.4099999964237213
1718907429.292026,40680,-0.38999998569488525
1718907433.652736,41400,-0.38999998569488525
1718907436.9755037,41940,-0.3700000047683716
1718907438.3269098,42120,-0.3700000047683716
1718907439.4211493,42300,-0.3700000047683716
1718907442.7362437,42840,-0.3100000023841858
1718907456.236915,45000,-0.3499999940395355
1718907462.7057474,46080,-0.30000001192092896
1718907466.4261398,46620,-0.28999999165534973
1718907468.945518,46980,-0.27000001072883606
1718907470.2056153,47160,-0.2800000011920929
1718907472.4513583,47520,-0.30000001192092896
1718907477.4860594,48240,-0.28999999165534973
1718907482.2400522,48960,-0.27000001072883606
1718907484.6694674,49320,-0.25999999046325684
1718907490.5060391,50220,-0.2800000011920929
1718907503.7793672,52560,-0.25999999046325684
1718907504.7944422,52740,-0.28999999165534973
1718907509.9583685,53640,-0.25999999046325684
1718907511.0106008,53820,-0.25
1718907515.2294028,54540,-0.20999999344348907
1718907516.268155,54720,-0.20999999344348907
1718907520.4825323,55440,-0.20999999344348907
1718907521.5792098,55620,-0.20999999344348907
1718907523.6169753,55980,-0.23999999463558197
1718907526.613683,56520,-0.23000000417232513
1718907531.788144,57420,-0.23999999463558197
1718907532.7719538,57600,-0.25
1718907533.7844698,57780,-0.23999999463558197
1718907538.9016218,58680,-0.25
1718907539.9355838,58860,-0.2800000011920929
1718907541.0432353,59040,-0.30000001192092896
1718907544.1612678,59580,-0.27000001072883606
1718907553.7573545,61200,-0.3499999940395355
1718907555.7990432,61560,-0.3400000035762787
1718907559.8360069,62280,-0.3199999928474426
1718907561.922378,62640,-0.3100000023841858
1718907568.0691962,63720,-0.3400000035762787
1718907569.0415332,63900,-0.3400000035762787
1718907575.145154,64980,-0.2800000011920929
1718907578.4893694,65520,-0.30000001192092896
1718907582.8972766,66240,-0.3400000035762787
1718907586.9690409,66960,-0.30000001192092896
1718907589.07511,67320,-0.25999999046325684
1718907593.1571343,68040,-0.23999999463558197
1718907594.1655016,68220,-0.20999999344348907
1718907595.198275,68400,-0.18000000715255737
1718907597.282121,68760,-0.1599999964237213
1718907602.4070222,69660,-0.1899999976158142
1718907607.4601126,70560,-0.2800000011920929
1718907608.5157664,70740,-0.30000001192092896
1718907609.6529207,70920,-0.2800000011920929
1718907626.1002984,73620,-0.25999999046325684
1718907633.5699375,74880,-0.3499999940395355
1718907639.6488204,75960,-0.3799999952316284
1718907640.6974938,76140,-0.38999998569488525
1718907642.7415106,76500,-0.3700000047683716
1718907644.7699215,76860,-0.3199999928474426
1718907648.8825762,77580,-0.2800000011920929
1718907658.1870286,79200,-0.20000000298023224
1718907660.4330225,79560,-0.2199999988079071
1718907661.4646294,79740,-0.2199999988079071
1718907664.5191445,80280,-0.17000000178813934
1718907670.693415,81360,-0.23000000417232513
1718907678.8926363,82800,-0.27000001072883606
1718907680.0473995,82980,-0.25999999046325684
1718907683.6305382,83520,-0.3199999928474426
1718907684.7208407,83700,-0.33000001311302185
1718907688.8151524,84420,-0.36000001430511475
1718907694.0406318,85320,-0.33000001311302185
1718907695.0357878,85500,-0.3400000035762787
1718907706.2220805,87480,-0.3700000047683716
1718907709.281107,88020,-0.36000001430511475
1718907710.2359452,88200,-0.33000001311302185
1718907712.3144782,88560,-0.3100000023841858
1718907714.4081903,88920,-0.25999999046325684
1718907717.5594435,89460,-0.23000000417232513
1718907729.0354416,91440,-0.27000001072883606
1718907734.1885734,92340,-0.2800000011920929
1718907736.27909,92700,-0.3100000023841858
1718907739.288574,93240,-0.25
1718907741.3155699,93600,-0.27000001072883606
1718907746.4214652,94500,-0.18000000715255737
1718907747.4222922,94680,-0.15000000596046448
1718907753.5298223,95760,-0.1899999976158142
1718907755.5998707,96120,-0.23000000417232513
1718907756.638962,96300,-0.2199999988079071
1718907758.6712878,96660,-0.27000001072883606
1718907759.716987,96840,-0.27000001072883606
1718907762.762761,97380,-0.25
1718907764.8440015,97740,-0.20999999344348907
1718907769.9306974,98640,-0.17000000178813934
1718907770.9295406,98820,-0.20000000298023224
1718907771.9462233,99000,-0.1899999976158142
1718907780.4334033,100440,-0.28999999165534973
1718907782.5939844,100800,-0.27000001072883606
1718907786.6437695,101520,-0.28999999165534973
1718907787.6388032,101700,-0.27000001072883606
1718907788.6282957,101880,-0.2800000011920929
1718907792.9851272,102600,-0.27000001072883606
1718907797.1591449,103320,-0.23000000417232513
1718907798.1517723,103500,-0.2199999988079071
1718907801.2705843,104040,-0.25
1718907803.3170493,104400,-0.27000001072883606
1718907804.341831,104580,-0.25999999046325684
1718907805.4013703,104760,-0.25999999046325684
1718907806.4554977,104940,-0.30000001192092896
1718907807.52593,105120,-0.3400000035762787
1718907808.4920745,105300,-0.3499999940395355
1718907810.4917953,105660,-0.33000001311302185
1718907811.4951177,105840,-0.33000001311302185
1718907816.9095457,106740,-0.3499999940395355
1718907817.9470465,106920,-0.3199999928474426
1718907822.1232293,107640,-0.25999999046325684
1718907825.3886514,108180,-0.2199999988079071
1718907827.3684561,108540,-0.1899999976158142
1718907834.0740013,109620,-0.25999999046325684
1718907836.1983316,109980,-0.2800000011920929
1718907841.3192074,110880,-0.23000000417232513
1718907845.434384,111600,-0.1599999964237213
1718907846.4553394,111780,-0.18000000715255737
1718907848.5344603,112140,-0.1899999976158142
1718907860.6615207,114300,-0.2800000011920929
1718907867.8784769,115560,-0.3199999928474426
1718907868.9241736,115740,-0.3199999928474426
1718907870.9411929,116100,-0.27000001072883606
1718907871.9755409,116280,-0.28999999165534973
1718907873.0693965,116460,-0.27000001072883606
1718907874.1099803,116640,-0.2800000011920929
1718907876.2222629,117000,-0.2800000011920929
1718907879.3228533,117540,-0.25999999046325684
1718907883.466596,118260,-0.25
1718907884.4715438,118440,-0.2800000011920929
1718907888.5699406,119160,-0.25999999046325684
1718907891.585071,119700,-0.2199999988079071
1718907895.6862564,120420,-0.2199999988079071
1718907898.7631857,120960,-0.27000001072883606
1718907899.7554703,121140,-0.2800000011920929
1718907900.7463043,121320,-0.30000001192092896
1718907901.757117,121500,-0.30000001192092896
1718907902.7354207,121680,-0.28999999165534973
1718907904.785839,122040,-0.2800000011920929
1718907905.848879,122220,-0.27000001072883606
1718907906.8842323,122400,-0.25999999046325684
1718907910.0862515,122940,-0.23000000417232513
1718907911.1506295,123120,-0.23000000417232513
1718907912.1295793,123300,-0.25999999046325684
1718907914.1347485,123660,-0.23999999463558197
1718907916.230669,124020,-0.25999999046325684
1718907917.2350574,124200,-0.27000001072883606
1718907924.4107537,125460,-0.20999999344348907
1718907927.5790803,126000,-0.18000000715255737
1718907929.7908254,126360,-0.1599999964237213
1718907931.8241985,126720,-0.14000000059604645
1718907935.0564098,127260,-0.17000000178813934
1718907937.2218986,127620,-0.20999999344348907
1718907939.2113101,127980,-0.23999999463558197
1718907943.7568626,128700,-0.23000000417232513
1718907948.091912,129420,-0.2199999988079071
1718907951.1296694,129960,-0.20000000298023224
1718907952.1767511,130140,-0.17000000178813934
1718907953.3511076,130320,-0.18000000715255737
1718907954.571455,130500,-0.18000000715255737
1718907960.9793863,131580,-0.17000000178813934
1718907967.5138788,132660,-0.2800000011920929
